comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
129,2,1,WT,WS,11,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,325000,78,5.20E+08
13,1,1,LZ,SM,4,N,SM,N,N,1N_1N,SM_SM,244446.4286,73,486666666.7
13,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
13,1,1,WT,SM,7,N,SM,N,N,1N_1N,SM_SM,717321.4286,8,53333333.33
13,1,1,WT,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
130,2,1,LZ,SM,9,N,SM,N,N,1N_2N,SM_WS:SM:N,448035.7143,74,493333333.3
130,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
130,2,1,WT,SM,12,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,363303.5714,17,113333333.3
130,2,1,WT,WS,11,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,325000,47,313333333.3
131,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,0,NA
131,2,1,LZ,WS,8,N,WS,N,N,1N_2N,WS_WS:SM:N,369107.1429,335,2233333333
131,2,1,WT,SM,12,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,363303.5714,17,113333333.3
131,2,1,WT,WS,11,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,325000,279,1.86E+09
132,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,61,NA
132,2,1,LZ,WS,9,N,WS,N,N,1N_2N,WS_WS:SM:N,408571.4286,15,1.00E+08
132,2,1,WT,SM,12,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,363303.5714,22,146666666.7
132,2,1,WT,WS,11,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,325000,22,146666666.7
133,1,2,LZ,SM,9,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,224017.8571,72,4.80E+08
133,1,2,LZ,WS,8,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,184553.5714,747,4.98E+09
133,1,2,WT,SM,11,N,SM,N,N,2N_1N,WS:SM:N_SM,689464.2857,23,153333333.3
133,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
134,1,2,LZ,SM,9,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,224017.8571,91,606666666.7
134,1,2,LZ,WS,8,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,184553.5714,868,5786666667
134,1,2,WT,SM,12,N,SM,N,N,2N_1N,WS:SM:N_SM,726607.1429,19,126666666.7
134,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
135,1,2,LZ,SM,9,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,224017.8571,65,433333333.3
135,1,2,LZ,WS,8,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,184553.5714,317,2113333333
135,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
